ID,Text,Comment
Knatte.Corner.DisplayName,装飾用ダム 三角錐,-
Knatte.Corner.Description,ダムの角に設置しよう。,-
Knatte.Corner.FlavorDescription,注意！水はせき止めない。,-

Knatte.SQCorner.DisplayName,装飾用ダム 四角錐,Decoration Square Corner
Knatte.SQCorner.Description,ダムの角に設置しよう。,Let the Dam be Cornered.
Knatte.SQCorner.FlavorDescription,注意！水はせき止めない。,Does not Block Water

Knatte.Diagonal.DisplayName,装飾用ダム 三角柱,-
Knatte.Diagonal.Description,ダムの横に設置しよう。,-
Knatte.Diagonal.FlavorDescription,注意！水はせき止めない。,-

Knatte.DiagonalS.DisplayName,足場付き装飾用ダム 三角柱,-
Knatte.DiagonalS.Description,ダムの横に設置しよう。足場がついている。,-
Knatte.DiagonalS.FlavorDescription,注意！水はせき止めない。,-

Knatte.DiagonalW.DisplayName,堤防 三角柱,-
Knatte.DiagonalW.Description,ダムの横に設置しよう。,-
Knatte.DiagonalW.FlavorDescription,水をせき止める。,-

Knatte.InvCorner.DisplayName,装飾用ダム 対角線,-
Knatte.InvCorner.Description,ダムの角の内側に設置しよう。,-
Knatte.InvCorner.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerW.DisplayName,堤防 対角線,-
Knatte.InvCornerW.Description,ダムの角の内側に設置しよう。,-
Knatte.InvCornerW.FlavorDescription,水をせき止める。,-

Knatte.Slope.DisplayName,装飾用ダム 坂,-
Knatte.Slope.Description,ダムに傾斜をつけよう。,-
Knatte.Slope.FlavorDescription,注意！水はせき止めない。,-

Knatte.CornerSlope.DisplayName,装飾用ダム 角の坂,-
Knatte.CornerSlope.Description,ダムの角に設置しよう。,-
Knatte.CornerSlope.FlavorDescription,注意！水はせき止めない。,-

Knatte.Square.DisplayName,装飾用 立方体,Decoration Cube
Knatte.Square.Description,ダム風の立方体。,Dam the Square
Knatte.Square.FlavorDescription,注意！水はせき止めない。,Does not Block Water

Knatte.Square2W.DisplayName,堤防 2x2,Levee 2x2
Knatte.Square3W.DisplayName,堤防 3x3,Levee 3x3
Knatte.SquareW.Description,ダムを大きくしよう。,Dam let it be big
Knatte.SquareW.FlavorDescription,水をせき止める。,Water will not Pass

Knatte.SquareW1x2.DisplayName,堤防 1x2
Knatte.SquareW1x3.DisplayName,堤防 1x3
Knatte.SquareW2x1.DisplayName,堤防 2x1
Knatte.SquareW2x3.DisplayName,堤防 2x3
Knatte.SquareW3x1.DisplayName,堤防 3x1
Knatte.SquareW3x2.DisplayName,堤防 3x2


Knatte.HighDam.DisplayName,満杯ダム,High Dam
Knatte.HighDam.Description,水をせき止めるが、上部の放水口からいくらか（水位がx.85になるように）放水する。\r\n洪水が起きやすいので注意！,デフォルトのダムの説明文と対応している。Blocks water but allows less(85%) to pass through a spillway at the top.\r\nHigher risk of floods!
Knatte.HighDam.FlavorDescription,水をせき止める。,Water will not Pass

Knatte.Corner2X.DisplayName,装飾用ダム 三角錐（高さ2）,-
Knatte.Corner2X.Description,ダムの角に設置しよう。,-
Knatte.Corner2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.SQCorner2X.DisplayName,装飾用ダム 四角錐（高さ2）,Decoration Square Corner Double Height
Knatte.SQCorner2X.Description,ダムの角に設置しよう。,Let the Dam be Cornered.
Knatte.SQCorner2X.FlavorDescription,注意！水はせき止めない。,Does not Block Water

Knatte.Diagonal2X.DisplayName,装飾用ダム 対角線（高さ2）,-
Knatte.Diagonal2X.Description,ダムの横に設置しよう。,-
Knatte.Diagonal2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerS2X.DisplayName,足場付き装飾用ダム 対角線（高さ2）,-
Knatte.InvCornerS2X.Description,ダムの横に設置しよう。足場がついている。,-
Knatte.InvCornerS2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCorner2X.DisplayName,装飾用ダム 対角線（高さ2）,-
Knatte.InvCorner2X.Description,ダムの角に設置しよう。,-
Knatte.InvCorner2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.InvCornerW2X.DisplayName,堤防 対角線（高さ2）,-
Knatte.InvCornerW2X.Description,ダムの角に設置しよう。,-
Knatte.InvCornerW2X.FlavorDescription,水をせき止める。,-

Knatte.Slope2X.DisplayName,装飾用ダム 坂（高さ2）,-
Knatte.Slope2X.Description,ダムに傾斜をつけよう。,-
Knatte.Slope2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.CornerSlope2X.DisplayName,装飾用ダム 角の坂（高さ2）,-
Knatte.CornerSlope2X.Description,ダムの角に設置しよう。,-
Knatte.CornerSlope2X.FlavorDescription,注意！水はせき止めない。,-

Knatte.Corner3X.DisplayName,装飾用ダム 三角錐（高さ3）,-Decoration Corner Tripple Height
Knatte.Corner3X.Description,ダムの角に設置しよう。,-Let the Dam be Cornered.
Knatte.Corner3X.FlavorDescription,注意！水はせき止めない。,-Does not Block Water

